region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_20 | degree 1,339422,337780.6727137171,-1.0,6.8,4.417904631147821,0.330389519926891,0.5677024742435692,0.024626730405165578,1.3804426699515204e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_20 | degree 3,339422,336788.03029505187,-1.0,5.4,4.593284871876391,0.36878657484996985,0.5673204156173874,0.0256392817128546,9.899816892922078e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_40 | degree 1,339422,334575.8515285273,-1.0,8.2,5.066266325971263,0.43532053782425634,0.8122986318392609,0.026862657808780922,5.8742810924217185e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_40 | degree 3,339422,336585.7844953062,-1.0,10.2,4.780248845009988,0.4149758366323587,0.7659584731132743,0.02641933017280932,8.897397183460498e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,loess | 3 fold,339422,337090.1831144333,0.22000000000000003,-1.0,5.260983032267112,0.33099012589274535,0.5753412472461548,0.026660128838945495,0.0005493708219661399
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,loess | 5 fold,339422,338057.27963428496,0.2,-1.0,4.976058507677756,0.3247319117621138,0.5429877833331854,0.025314618021133977,0.0005493708219666283
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_20 | degree 1,339422,343324.50432952074,-1.0,4.6,5.046479780900617,0.5667741501675649,0.9682522891773095,0.04516153993585524,6.01556134542775e-05
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_20 | degree 3,339422,339642.32768286875,-1.0,4.8,5.134548657967853,0.5224251239711932,0.9484206619706544,0.04299815097378322,6.975976534207007e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_40 | degree 1,339422,337979.9402455777,-1.0,17.2,5.0194225835863,0.6487304202765569,1.2951861293669487,0.0386582648003015,4.3928367743362185e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_40 | degree 3,339422,332788.20042701793,-1.0,31.0,5.32289037690103,1.2638882596917498,3.9457993427985927,0.06134262207825688,2.59755232878689e-09
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,loess | 3 fold,339422,338891.3997787476,0.26,-1.0,4.762943598422918,0.35906586053533707,0.6683830985523341,0.03233274078852638,0.004091867276955716
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,loess | 5 fold,339422,340237.8207304001,0.25,-1.0,5.349783694118039,0.40094221092403864,0.7346548683801096,0.03431906602485788,6.422807982242595e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_20 | degree 1,339422,331097.2851692521,-1.0,4.8,2.5623205799219546,0.3502162444781363,0.5797285109367628,0.02504761423009356,9.630706276908543e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_20 | degree 3,339422,327726.6063628316,-1.0,5.8,3.4456793128225103,0.3760391914614464,0.6302782863295731,0.025636611857704838,1.1091176568278627e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_40 | degree 1,339422,329979.55529168213,-1.0,8.8,2.7819188821932053,0.3893479475606235,0.7948534308605382,0.02932692136674906,6.856433643065429e-10
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_40 | degree 3,339422,320617.87263053324,-1.0,35.6,5.540043771313222,0.6792489438878733,1.4552794628016432,0.03002209876867426,5.551115123125783e-16
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,loess | 3 fold,339422,331174.7765991211,0.29000000000000004,-1.0,2.799854178763875,0.31414072708441265,0.5746292417032898,0.0277016627963856,1.7300054988567127e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,loess | 5 fold,339422,333849.64023571013,0.24999999999999994,-1.0,1.6417202668919089,0.2925516279393455,0.49273616826863587,0.02130425896992532,4.756753879675556e-10
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_averaged,aspline_20 | degree 1,339422,336276.11045494425,-1.0,4.8,2.3026671648842796,0.363683160471543,0.614300054415237,0.02658291090910066,1.0892632218428845e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_averaged,aspline_20 | degree 3,339422,333238.78967234894,-1.0,5.6,2.266294592507381,0.3495010063133937,0.6267625813537571,0.02444630491704436,4.926238055258382e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_averaged,aspline_40 | degree 1,339422,334541.69976806187,-1.0,8.0,2.6601381929970254,0.3876351821118582,0.7774677107327186,0.027735573311869703,2.661573206275136e-09
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_averaged,aspline_40 | degree 3,339422,318498.8993343889,-1.0,31.6,6.164332502198164,0.8649404875559057,2.487598416517234,0.03413901682930144,1.1990408665951691e-15
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_averaged,loess | 3 fold,339422,335694.9622877121,0.3,-1.0,1.9135467945065183,0.31281887612689097,0.5713694355544678,0.01598137139706652,0.0009149225138621415
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_averaged,loess | 5 fold,339422,339756.2213226318,0.24,-1.0,2.3770915569653797,0.2676374668205027,0.4605015738302905,0.02052504408641964,0.00010104753357832882
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_direct,aspline_20 | degree 1,339422,341501.21793941164,-1.0,7.2,4.253973494416341,0.6591717245587547,1.5642154970702706,0.05774521217460547,8.314082755589424e-12
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_direct,aspline_20 | degree 3,339422,345033.9899203203,-1.0,12.0,5.744996687920948,0.7990724297537752,1.7527194998397788,0.06655059262700946,2.042810365310288e-15
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_direct,aspline_40 | degree 1,339422,341068.7055568362,-1.0,3.4,4.560990832222028,0.9187598967503654,1.58382153547235,0.06915364262555228,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_direct,aspline_40 | degree 3,339422,347286.5835366895,-1.0,14.4,6.383136830753781,0.7356857167590201,1.7961760748413114,0.06317383853278143,1.6696204419019978e-09
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_direct,loess | 3 fold,339422,344689.47385864257,0.51,-1.0,4.500256598007349,0.6010729664769819,1.1885347017955867,0.04462450524398964,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_direct,loess | 5 fold,339422,343321.3100376129,0.33999999999999997,-1.0,4.619533053459378,0.3934317971732913,0.7146978473198438,0.031597448733426,2.2895085499241573e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_pooled,aspline_20 | degree 1,339422,315250.44928422075,-1.0,5.8,7.1213859784513645,0.4042857010698574,0.6764732025682658,0.028967433806819883,6.251577033822285e-12
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_pooled,aspline_20 | degree 3,339422,313743.85634821904,-1.0,17.2,7.565256127116358,0.38588924939224173,0.6922626818924458,0.031127779013626143,3.3307268054727496e-11
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_pooled,aspline_40 | degree 1,339422,314124.13082491956,-1.0,5.4,7.45322023177062,0.4330667703918212,0.7146898085105238,0.031069464213694404,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_pooled,aspline_40 | degree 3,339422,314031.3736583145,-1.0,11.8,7.4805482089214905,0.3871581978960937,0.6910348870246734,0.029900844587096943,5.335344166468303e-10
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_pooled,loess | 3 fold,339422,319341.0225154877,0.30999999999999994,-1.0,5.916227435025523,0.3865747303115362,0.7750629201631714,0.0388649495345456,1.3478107518949401e-14
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_pooled,loess | 5 fold,339422,320716.9179801941,0.27,-1.0,5.510863179112111,0.3589354302264872,0.6735107222468587,0.035992644925119346,1.763369117391278e-09
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_averaged,aspline_20 | degree 1,339422,333656.45173982426,-1.0,6.2,3.3227792314370923,0.47798236435694913,0.8286484884148668,0.0395900211569419,5.965922644790567e-10
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_averaged,aspline_20 | degree 3,339422,332619.38386598055,-1.0,17.0,3.6107764479972695,0.47520699847106196,0.802070524849033,0.037206861708349706,5.79499546127238e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_averaged,aspline_40 | degree 1,339422,333629.4641456717,-1.0,8.0,3.377694269754644,0.47797560947859646,0.8073361689150793,0.039022589950098205,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_averaged,aspline_40 | degree 3,339422,333529.9247225631,-1.0,13.0,3.8570028373757475,0.4549864577437591,0.8138916382369915,0.03719407262905358,1.757861851636733e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_averaged,loess | 3 fold,339422,340445.29425106046,0.26,-1.0,3.9727308633957406,0.3601045861639488,0.5715290359348832,0.02879780325869242,3.987557601892178e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,32_averaged,loess | 5 fold,339422,339231.2036586761,0.27,-1.0,3.615037316016861,0.3595551864871679,0.5670652391823664,0.02650013041326262,3.987557612994408e-08
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,96_direct,aspline_20 | degree 1,393571,412221.5891547776,-1.0,4.8,4.738811842025339,0.644364534941408,1.2733737684560869,0.0272932039173099,1.7742356965366744e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,96_direct,aspline_20 | degree 3,393571,411269.3118984153,-1.0,4.0,4.622285733071623,0.6682572613897786,1.1280940306001834,0.02445481116129864,4.027153575684329e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,96_direct,aspline_40 | degree 1,393571,411265.43308757327,-1.0,5.8,4.958608792063832,0.6555312497547301,1.5424087997052047,0.02864492390264032,0.0044272259920724
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,96_direct,aspline_40 | degree 3,393571,411912.5980340224,-1.0,6.2,4.887311604681242,0.6630590535607712,1.4030859791133978,0.02952666524328936,3.854811128979422e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,96_direct,loess | 3 fold,393571,411458.45483074186,0.25,-1.0,4.597793746210408,0.3913171717151503,0.6386587002004201,0.0126024423342769,0.0010777365511450742
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,96_direct,loess | 5 fold,393571,410497.81282138824,0.27,-1.0,4.841877281164365,0.40835272658855015,0.6724180100036279,0.01407185488738158,0.0003569880951710723
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_direct,aspline_20 | degree 1,393571,399592.19545688294,-1.0,5.4,5.842111914891413,0.6649073357893209,1.2185987607780118,0.0473334359189727,0.00012151540361464495
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_direct,aspline_20 | degree 3,393571,394657.3695814849,-1.0,4.6,6.1953538464324085,0.6317719322359376,1.2358680170682292,0.04516290159142318,6.989790183586919e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_direct,aspline_40 | degree 1,393571,392909.18129157287,-1.0,7.6,5.433072142990543,0.7598833222550919,1.6230590991553975,0.04330588237416523,1.4320538366252578e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_direct,aspline_40 | degree 3,393571,374671.7384925756,-1.0,30.2,4.801995448705412,1.8560918897402972,6.251030839569923,0.06623928225687212,6.440937058819999e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_direct,loess | 3 fold,393571,390485.48042583466,0.29,-1.0,5.144968063731841,0.4106473632489525,0.8243391506356478,0.03319787481336019,4.0852880567321396e-08
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_direct,loess | 5 fold,393571,391600.6678972244,0.29,-1.0,4.890067273010677,0.38875199770955227,0.7762668314429224,0.031586296340222,0.0001507955539647434
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_pooled,aspline_20 | degree 1,393571,388288.1838340108,-1.0,5.0,3.008402105921781,0.44774832024385125,0.7690714824332805,0.02631509951398524,1.938265588139476e-05
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_pooled,aspline_20 | degree 3,393571,382900.5361695929,-1.0,6.2,3.558529106782364,0.45997130792762286,0.8212471746014645,0.026035820423836797,1.1595834457311938e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_pooled,aspline_40 | degree 1,393571,385145.79455263435,-1.0,14.6,3.3715141119315453,0.485214103233954,1.0172829252206788,0.027861252454645602,4.886010929183727e-10
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_pooled,aspline_40 | degree 3,393571,373605.1907029537,-1.0,29.8,5.072987922648313,0.778873307166016,1.9293160578324176,0.029733834774464785,3.648348290141712e-12
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_pooled,loess | 3 fold,393571,384918.48245296476,0.32,-1.0,2.5985497147792382,0.443876960397202,0.8173832759315737,0.021764862989021437,0.00011687301264389001
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_pooled,loess | 5 fold,393571,389595.0249256134,0.25,-1.0,2.877646561033578,0.33871405780448083,0.5563184598061339,0.0186121729770246,7.269853008473604e-09
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_averaged,aspline_20 | degree 1,393571,393941.7678149495,-1.0,4.6,3.7540300754386493,0.6700168219170871,1.114877879433878,0.044966009312636716,1.4676659887413735e-11
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_averaged,aspline_20 | degree 3,393571,390189.44051289745,-1.0,4.8,4.274771291399233,0.5753080711386878,1.03761982804258,0.0395902308042555,1.82511533219909e-08
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_averaged,aspline_40 | degree 1,393571,391240.3111838747,-1.0,7.0,4.110214814693453,0.5654254209540593,1.388558095613068,0.042606561161864835,1.2960833380759597e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_averaged,aspline_40 | degree 3,393571,363046.6980085966,-1.0,34.0,7.755729459590105,1.3128844686621535,4.110534651139698,0.048922367530086344,1.1102230246251565e-16
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_averaged,loess | 3 fold,393571,391398.6207004547,0.29,-1.0,3.2012187708539743,0.3453330162539003,0.6337332375399962,0.02253827486690914,8.395011724537936e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,48_averaged,loess | 5 fold,393571,394165.6212944031,0.26999999999999996,-1.0,3.0634575733677285,0.38822063225595427,0.7316810566853464,0.027034824878972817,4.571631595662318e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,32_direct,aspline_20 | degree 1,393571,396437.6374112683,-1.0,8.4,5.025971322077406,0.7569412241860571,1.8579793928077197,0.049794528670913316,7.2523966863746734e-06
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,32_direct,aspline_20 | degree 3,393571,403059.84129536466,-1.0,15.0,7.125714200446784,0.8891565444472143,2.077870928050447,0.06401477116888632,3.6274538928182657e-12
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,32_direct,aspline_40 | degree 1,393571,394010.03939989756,-1.0,7.0,4.6677193770185195,0.8923735087490027,1.832326632521949,0.050682171465551484,8.797897965706624e-11
"Chicago-Naperville-Elgin, IL-IN-WI",2020-10-08,32_direct,aspline_40 | degree 3,393571,405308.92361013487,-1.0,14.4,7.630580615867542,0.8310162237676939,2.150488954525533,0.05894516443605767,1.1926513565629904e-07
