region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_20 | degree 1,339422,372807.0324271291,-1,9,9.835848126264386,0.668482754588543,1.4504930428115086,0.04332647118504801,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_20 | degree 3,339422,371813.6241821804,-1,5,9.543171680733831,0.7441186464832623,1.3458443444597616,0.04112905312216464,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_40 | degree 1,339422,370296.68504366354,-1,5,9.096253349418584,0.8059864346993622,1.691382465741621,0.04486858930652321,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_40 | degree 3,339422,372894.50182504,-1,6,9.861618228942135,0.7254903582947159,1.6220959269779986,0.046685127222758305,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,loess | 3 fold,339422,378234.7923555374,0.2,-1,11.43496660662462,0.6037592816575272,1.078613889231265,0.03380416047670254,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,loess | 5 fold,339422,378234.7923555374,0.2,-1,11.43496660662462,0.6037592816575272,1.078613889231265,0.03380416047670254,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_20 | degree 1,339422,348426.4009579862,-1,6,2.652863090190438,0.3243227440304401,0.43370491927479704,0.011989132418214865,0.00029327117049438023
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_20 | degree 3,339422,344077.3492637917,-1,4,1.3715520101206442,0.361572782159668,0.5081639865715638,0.016253350829652513,2.0058284899704404e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_40 | degree 1,339422,346500.5718788666,-1,10,2.0854782185204797,0.4538742418377469,0.8526736672999116,0.016293712792994935,2.1515518644488196e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_40 | degree 3,339422,364165.6733309679,-1,20,7.28994388429975,0.9422911471603503,2.9467384262736127,0.07486091580628013,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,loess | 3 fold,339422,348073.0423145294,0.30000000000000004,-1,2.5487570972209874,0.3377518820332088,0.5247426394162964,0.023608375051206443,9.992007221626409e-16
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,loess | 5 fold,339422,348073.0423145294,0.30000000000000004,-1,2.5487570972209874,0.33775188203320883,0.5247426394162963,0.023608375051206443,9.992007221626409e-16
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_20 | degree 1,339422,340352.9123200868,-1,4,0.2742639899849717,0.5038865357774936,0.9694120163849104,0.05390009383968952,0.0
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_20 | degree 3,339422,335102.81411651167,-1,6,1.2725120597628707,0.5588439429762608,1.1221650245995136,0.0468002288129879,0.0
