region,date,velComp,estMethod,totalTweets,estimatedTweets,span,knots,absRelBias,mab,rmsd,tstat,pval
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_20 | degree 1,339422,327013.9113760853,-1.0,6.0,3.655652439710653,0.21829894991470344,0.3242932684392421,0.0162026868759679,2.3007377832525341e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_20 | degree 3,339422,326170.6638451338,-1.0,5.666666666666667,3.904088761148708,0.24781810260616843,0.3492081559774058,0.017159377161808532,1.6499694821536795e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_40 | degree 1,339422,323622.8045824703,-1.0,9.333333333333334,4.654735231519975,0.3256953951231301,0.5959667687263174,0.018294487504337566,9.79046848736953e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,aspline_40 | degree 3,339422,325565.5995576942,-1.0,12.666666666666666,4.08235189301394,0.3176344768081237,0.550638127753489,0.017049195075091398,1.4828995305767498e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,loess | 3 fold,339422,325005.71591504413,0.21666666666666667,-1.0,4.2473039711497345,0.2386812987206802,0.4285348776070587,0.020621389321685463,0.0009156180366102331
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,96_direct,loess | 5 fold,339422,325740.7871459325,0.20000000000000004,-1.0,4.030738388810238,0.23283936855111764,0.4014617960363771,0.01931206863997673,0.0009156180366110472
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_20 | degree 1,339422,349058.46922517935,-1.0,4.0,5.7193920906458295,0.7218424242130785,1.2744187184441789,0.06129801332613727,2.5022989256958303e-06
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_20 | degree 3,339422,345553.26497503737,-1.0,5.0,5.94501669415327,0.6409962335045166,1.230202550849919,0.05852838066890761,4.940532020529057e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_40 | degree 1,339422,342718.46886991966,-1.0,23.0,5.296088985461364,0.8198948660301991,1.695679873741872,0.05231554638764404,1.4770821232801268e-09
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,aspline_40 | degree 3,339422,330563.02039633464,-1.0,31.666666666666668,3.3641405251255336,1.4149160826101517,4.407000033975376,0.06397745869258864,4.329253881311483e-09
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,loess | 3 fold,339422,343281.5480740865,0.25,-1.0,4.841432606569858,0.38405531354192535,0.7667126227165642,0.0370315521521883,0.006819778794925861
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_direct,loess | 5 fold,339422,345525.5829935074,0.2333333333333333,-1.0,5.819499432728391,0.453849230856428,0.8771655724295231,0.0403420942127408,1.070467997007126e-05
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_20 | degree 1,339422,328578.89763127064,-1.0,5.333333333333333,3.1945785390249903,0.31821178489618,0.4846456956807099,0.0182212140996233,1.3194885898718905e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_20 | degree 3,339422,325466.2671983806,-1.0,5.333333333333333,4.1116170435679935,0.3567734975167253,0.5302833922357092,0.021051148533778,1.8378402906934119e-07
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_40 | degree 1,339422,327975.28252067004,-1.0,10.0,3.372414716585832,0.36945225394340614,0.6664052411387252,0.0234777461290135,1.141708505514316e-09
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,aspline_40 | degree 3,339422,320755.1165161734,-1.0,32.666666666666664,5.49960918379674,0.5930469319237811,1.1497264371513352,0.024928373410494767,9.251858538542972e-16
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,loess | 3 fold,339422,329124.0967508952,0.26666666666666666,-1.0,3.0339527930142474,0.2872444466082164,0.4578674905619828,0.02414842374958423,2.883342498094521e-08
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_pooled,loess | 5 fold,339422,331869.7735036214,0.25,-1.0,2.225025630742433,0.33530605737080127,0.5631471172547989,0.0229908536464405,3.686680590438604e-12
"Atlanta-Sandy Springs-Roswell, GA",2020-10-08,48_averaged,aspline_20 | degree 1,339422,332766.6128088673,-1.0,4.666666666666667,3.148815078166097,0.36980632207295966,0.6105373151491008,0.027250092119770235,1.6061019181279335e-10
